diamond_id,shape,size,color,clarity,cut,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,girdle_condition,culet_size,fluor_color,fluor_intensity,has_cert_file,lab,has_video,eye_clean,has_image_file,has_sarineloupe,ratio,is_bgm,shade,milky,Total_Price
155622620,Oval,0.6,D,I1,,Very Good,Excellent,64.4,58,6.94,4.57,2.94,STK,TK,,N,Blue,Medium,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.519,TRUE,None,None,1180.3
162577336,Round,0.5,E,SI1,Very Good,Very Good,Excellent,64.5,57,4.95,4.99,3.21,STK,TK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1180.3
162893057,Round,0.51,E,SI2,Excellent,Excellent,Excellent,62.2,56,5.09,5.12,3.18,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1180.3
165694296,Round,0.7,H,SI2,Excellent,Excellent,Excellent,59.9,60,5.78,5.83,3.47,TN,M,,N,,Very Slight,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1182.15
165694299,Round,0.7,H,SI2,Excellent,Excellent,Excellent,62.7,57,5.64,5.68,3.55,M,STK,,N,,Slight,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1182.15
156188245,Round,0.7,H,SI2,Very Good,Excellent,Excellent,63,59,5.58,5.65,3.54,STK,TK,,N,,None,FALSE,IGI,TRUE,Borderline,TRUE,FALSE,0,TRUE,Unknown,None,1182.15
161631864,Round,0.7,J,SI1,Very Good,Very Good,Excellent,63.8,58,5.57,5.59,3.56,STK,TK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1182.15
155653195,Round,0.6,J,VS2,Excellent,Excellent,Excellent,62.1,57,5.36,5.39,3.34,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1184
155428234,Round,0.5,D,SI1,Excellent,Excellent,Excellent,62.3,57,5.07,5.1,3.17,M,STK,,N,Blue,Medium,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1185.85
165509363,Round,0.53,D,SI2,Excellent,Excellent,Excellent,61.9,58,5.16,5.18,3.2,M,STK,,N,Blue,Strong,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1185.85
163252239,Round,0.5,F,VS2,Good,Very Good,Excellent,66.9,58,4.83,4.87,3.25,STK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1187.7
166734774,Oval,0.5,F,SI1,,Very Good,Excellent,60.1,59,6.14,4.61,2.78,STK,VTK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.332,TRUE,None,None,1187.7
155622681,Oval,0.5,H,SI1,,Good,Excellent,63.9,63,6.15,4.46,2.85,STK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.379,TRUE,None,None,1187.7
164810701,Round,0.52,J,VVS1,Excellent,Excellent,Excellent,62.5,57,5.12,5.15,3.21,STK,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1187.7
165509296,Round,0.51,G,SI1,Very Good,Excellent,Excellent,63.9,55,4.98,5.01,3.19,STK,TK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1191.4
162594975,Round,0.5,G,VS2,Good,Very Good,Excellent,66.3,54,4.84,4.89,3.22,TK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1191.4
165509618,Round,0.7,L,VS1,Very Good,Excellent,Excellent,64.2,55,5.57,5.61,3.59,M,TK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1191.4
165687027,Oval,0.5,H,VS2,,Good,Excellent,61.1,61,6.09,4.61,2.82,TK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.321,TRUE,None,None,1191.4
155429024,Round,0.6,J,VS2,Excellent,Excellent,Excellent,62.9,57,5.36,5.38,3.38,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1191.4
161663590,Round,0.5,G,VS2,Good,Excellent,Excellent,66.3,56,4.86,4.88,3.23,STK,TK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1191.4
161453775,Round,0.8,K,SI2,Very Good,Very Good,Very Good,63.6,58,5.78,5.82,3.69,STK,TK,,N,,Very Slight,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1193.25
161097785,Round,0.5,G,SI1,Very Good,Excellent,Excellent,63.9,56,4.97,4.99,3.18,STK,TK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1193.25
165891230,Round,0.5,D,SI1,Excellent,Excellent,Very Good,62.6,54,5.09,5.11,3.19,M,STK,,N,Blue,Medium,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1193.25
